Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Cu_ecut20_k999_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,9 9 9,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.65940685
Cu_ecut20_k999_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,9 9 9,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.3188413
Cu_ecut20_k999_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,9 9 9,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.2955288
Cu_ecut20_k101010_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,10 10 10,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.02964438
Cu_ecut20_k101010_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,10 10 10,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.66632139
Cu_ecut20_k101010_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,10 10 10,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.32552428
Cu_ecut20_k101010_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,10 10 10,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.3021197
Cu_ecut20_k111111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,11 11 11,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.03333958
Cu_ecut20_k111111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,11 11 11,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.67017024
Cu_ecut20_k111111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,11 11 11,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.32974978
Cu_ecut20_k111111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,11 11 11,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.30640789
Cu_ecut25_k111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,1 1 1,Cu.pbe-dn-kjpaw_psl.1.0.0,-213.63984672
Cu_ecut25_k111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,1 1 1,Cu.pbe-dn-rrkjus_psl.1.0.0,-123.29085829
Cu_ecut25_k111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,1 1 1,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.95725063
Cu_ecut25_k111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,1 1 1,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.94774222
Cu_ecut25_k222_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,2 2 2,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.76050234
Cu_ecut25_k222_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,2 2 2,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.4089137
Cu_ecut25_k222_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,2 2 2,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.07602952
Cu_ecut25_k222_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,2 2 2,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.06368914
Cu_ecut25_k333_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,3 3 3,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.92131171
Cu_ecut25_k333_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,3 3 3,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.56926206
Cu_ecut25_k333_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,3 3 3,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.23217181
Cu_ecut25_k333_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,3 3 3,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.21942916
Cu_ecut25_k444_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,4 4 4,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.88326354
Cu_ecut25_k444_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,4 4 4,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.53096384
Cu_ecut25_k444_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,4 4 4,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.19052913
Cu_ecut25_k444_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,4 4 4,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.17753271
Cu_ecut25_k555_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,5 5 5,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.88578415
Cu_ecut25_k555_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,5 5 5,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.53322544
Cu_ecut25_k555_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,5 5 5,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.19409186
Cu_ecut25_k555_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,5 5 5,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.18091812
Cu_ecut25_k666_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,6 6 6,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.87616402
Cu_ecut25_k666_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,6 6 6,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.52384228
Cu_ecut25_k666_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,6 6 6,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.18549447
Cu_ecut25_k666_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,6 6 6,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.17247682
Cu_ecut25_k777_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,25,7 7 7,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.88658186
Cu_ecut25_k777_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,25,7 7 7,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.53404222
Cu_ecut25_k777_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,25,7 7 7,Cu.pbesol-dn-kjpaw_psl.1.0.0,-210.19428994
Cu_ecut25_k777_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,25,7 7 7,Cu.pbesol-dn-rrkjus_psl.1.0.0,-122.18102593
