Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut15_k111111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,11 11 11,Au.pbesol-n-kjpaw_psl.1.0.0,-764.41317104
Au_ecut15_k111111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,11 11 11,Au.pbesol-n-rrkjus_psl.1.0.0,-84.9497979
Au_ecut20_k111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,1 1 1,Au.pbe-n-kjpaw_psl.1.0.0,-775.90797588
Au_ecut20_k111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,1 1 1,Au.pbe-n-rrkjus_psl.1.0.0,-86.16160916
Au_ecut20_k111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,1 1 1,Au.pbesol-n-kjpaw_psl.1.0.0,-765.44151764
Au_ecut20_k111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,1 1 1,Au.pbesol-n-rrkjus_psl.1.0.0,-85.98151078
Au_ecut20_k222_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,2 2 2,Au.pbe-n-kjpaw_psl.1.0.0,-774.85168463
Au_ecut20_k222_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,2 2 2,Au.pbe-n-rrkjus_psl.1.0.0,-85.10349479
Au_ecut20_k222_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,2 2 2,Au.pbesol-n-kjpaw_psl.1.0.0,-764.3827413
Au_ecut20_k222_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,2 2 2,Au.pbesol-n-rrkjus_psl.1.0.0,-84.93981039
Au_ecut20_k333_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,3 3 3,Au.pbe-n-kjpaw_psl.1.0.0,-775.12315562
Au_ecut20_k333_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,3 3 3,Au.pbe-n-rrkjus_psl.1.0.0,-85.37628676
Au_ecut20_k333_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,3 3 3,Au.pbesol-n-kjpaw_psl.1.0.0,-764.66035036
Au_ecut20_k333_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,3 3 3,Au.pbesol-n-rrkjus_psl.1.0.0,-85.19570249
Au_ecut20_k444_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,4 4 4,Au.pbe-n-kjpaw_psl.1.0.0,-775.079821
Au_ecut20_k444_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,4 4 4,Au.pbe-n-rrkjus_psl.1.0.0,-85.33300221
Au_ecut20_k444_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,4 4 4,Au.pbesol-n-kjpaw_psl.1.0.0,-764.61802584
Au_ecut20_k444_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,4 4 4,Au.pbesol-n-rrkjus_psl.1.0.0,-85.15505256
Au_ecut20_k555_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,5 5 5,Au.pbe-n-kjpaw_psl.1.0.0,-775.10248109
Au_ecut20_k555_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,5 5 5,Au.pbe-n-rrkjus_psl.1.0.0,-85.3558447
Au_ecut20_k555_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,5 5 5,Au.pbesol-n-kjpaw_psl.1.0.0,-764.6398818
