Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Ni_ecut20_k999_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,9 9 9,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.4193515
Ni_ecut20_k999_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,9 9 9,Ni.pbe-spn-rrkjus_psl.1.0.0,-298.0095359
Ni_ecut20_k101010_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,10 10 10,Ni.pbesol-spn-kjpaw_psl.1.0.0,-383.9916598
Ni_ecut20_k101010_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,10 10 10,Ni.pbesol-spn-rrkjus_psl.1.0.0,-297.9873625
Ni_ecut20_k101010_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,10 10 10,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.1397901
Ni_ecut20_k101010_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,10 10 10,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.7466001
Ni_ecut20_k111111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,11 11 11,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.1348587
Ni_ecut20_k111111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,11 11 11,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.1219928
Ni_ecut20_k111111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,11 11 11,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.2758808
Ni_ecut20_k111111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,11 11 11,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.8734721
Ni_ecut25_k111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,1 1 1,Ni.pbesol-spn-kjpaw_psl.1.0.0,-417.6220899
Ni_ecut25_k111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,1 1 1,Ni.pbesol-spn-rrkjus_psl.1.0.0,-330.5773577
Ni_ecut25_k111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,25,1 1 1,Ni.pbe-spn-kjpaw_psl.1.0.0,-420.2205203
Ni_ecut25_k111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,25,1 1 1,Ni.pbe-spn-rrkjus_psl.1.0.0,-330.8015818
