Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Fr_ecut20_k777_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,7 7 7,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.65919094
Fr_ecut20_k777_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,7 7 7,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.05710413
Fr_ecut20_k888_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,8 8 8,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.50650065
Fr_ecut20_k888_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,8 8 8,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.55165886
Fr_ecut20_k888_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,8 8 8,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.74204158
Fr_ecut20_k888_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,8 8 8,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.13874111
Fr_ecut20_k999_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,9 9 9,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.44939138
Fr_ecut20_k999_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,9 9 9,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.49577761
Fr_ecut20_k999_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,9 9 9,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.68469343
Fr_ecut20_k999_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,9 9 9,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.08267129
Fr_ecut20_k101010_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,10 10 10,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.49321677
Fr_ecut20_k101010_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,10 10 10,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.53885674
Fr_ecut20_k101010_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,10 10 10,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.72835182
Fr_ecut20_k101010_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,10 10 10,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.12549107
Fr_ecut20_k111111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,11 11 11,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.50825806
Fr_ecut20_k111111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,11 11 11,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.55347403
Fr_ecut20_k111111_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,11 11 11,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.74347652
Fr_ecut20_k111111_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,11 11 11,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.14015405
