Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
K_ecut15_k101010_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,10 10 10,K.pz-spn-kjpaw_psl.1.0.0,-109.46282774
K_ecut15_k111111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,11 11 11,K.pbe-spn-kjpaw_psl.1.0.0,-112.65643307
K_ecut15_k111111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,11 11 11,K.pbe-spn-rrkjus_psl.1.0.0,-58.42769048
K_ecut15_k111111_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,11 11 11,K.pz-spn-rrkjus_psl.1.0.0,-58.34359663
K_ecut15_k111111_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,11 11 11,K.pz-spn-kjpaw_psl.1.0.0,-109.46325482
K_ecut20_k111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,1 1 1,K.pbe-spn-kjpaw_psl.1.0.0,-112.99142907
K_ecut20_k111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,1 1 1,K.pbe-spn-rrkjus_psl.1.0.0,-58.75555742
K_ecut20_k111_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,1 1 1,K.pz-spn-rrkjus_psl.1.0.0,-58.72300507
K_ecut20_k111_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,1 1 1,K.pz-spn-kjpaw_psl.1.0.0,-109.85015887
K_ecut20_k222_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,2 2 2,K.pbe-spn-kjpaw_psl.1.0.0,-112.87672446
K_ecut20_k222_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,2 2 2,K.pbe-spn-rrkjus_psl.1.0.0,-58.64063606
K_ecut20_k222_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,2 2 2,K.pz-spn-rrkjus_psl.1.0.0,-58.61013198
K_ecut20_k222_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,2 2 2,K.pz-spn-kjpaw_psl.1.0.0,-109.73749999
K_ecut20_k333_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,3 3 3,K.pbe-spn-kjpaw_psl.1.0.0,-112.9248301
K_ecut20_k333_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,3 3 3,K.pbe-spn-rrkjus_psl.1.0.0,-58.68870876
K_ecut20_k333_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,3 3 3,K.pz-spn-rrkjus_psl.1.0.0,-58.65651305
K_ecut20_k333_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,3 3 3,K.pz-spn-kjpaw_psl.1.0.0,-109.78393891
K_ecut20_k444_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,4 4 4,K.pbe-spn-kjpaw_psl.1.0.0,-112.9153469
K_ecut20_k444_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,4 4 4,K.pbe-spn-rrkjus_psl.1.0.0,-58.67919055
K_ecut20_k444_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,4 4 4,K.pz-spn-rrkjus_psl.1.0.0,-58.64689339
K_ecut20_k444_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,4 4 4,K.pz-spn-kjpaw_psl.1.0.0,-109.77434195
K_ecut20_k555_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,5 5 5,K.pbe-spn-kjpaw_psl.1.0.0,-112.91975144
K_ecut20_k555_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,5 5 5,K.pbe-spn-rrkjus_psl.1.0.0,-58.68359337
K_ecut20_k555_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,5 5 5,K.pz-spn-rrkjus_psl.1.0.0,-58.65136431
K_ecut20_k555_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,5 5 5,K.pz-spn-kjpaw_psl.1.0.0,-109.7788189
K_ecut20_k666_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,6 6 6,K.pbe-spn-kjpaw_psl.1.0.0,-112.9185046
K_ecut20_k666_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,6 6 6,K.pbe-spn-rrkjus_psl.1.0.0,-58.68234537
K_ecut20_k666_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,6 6 6,K.pz-spn-rrkjus_psl.1.0.0,-58.65009877
K_ecut20_k666_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,6 6 6,K.pz-spn-kjpaw_psl.1.0.0,-109.77754916
K_ecut20_k777_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,7 7 7,K.pbe-spn-kjpaw_psl.1.0.0,-112.91919948
