Archivo,Elemento,Ecut,KPoints,Pseudopotencial
Mg_ecut20_k111111_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,11 11 11,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k111111_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,11 11 11,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k111111_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,11 11 11,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k111_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,1 1 1,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k111_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,1 1 1,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k111_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,1 1 1,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k111_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,1 1 1,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k222_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,2 2 2,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k222_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,2 2 2,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k222_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,2 2 2,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k222_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,2 2 2,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k333_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,3 3 3,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k333_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,3 3 3,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k333_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,3 3 3,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k333_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,3 3 3,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k444_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,4 4 4,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k444_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,4 4 4,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k444_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,4 4 4,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k444_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,4 4 4,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k555_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,5 5 5,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k555_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,5 5 5,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k555_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,5 5 5,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k555_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,5 5 5,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k666_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,6 6 6,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k666_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,6 6 6,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k666_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,6 6 6,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k666_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,6 6 6,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k777_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,7 7 7,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k777_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,7 7 7,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k777_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,7 7 7,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k777_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,7 7 7,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k888_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,8 8 8,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k888_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,8 8 8,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k888_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,8 8 8,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k888_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,8 8 8,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k999_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,9 9 9,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k999_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,9 9 9,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k999_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,9 9 9,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k999_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,25,9 9 9,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k101010_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,25,10 10 10,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut25_k101010_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,25,10 10 10,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut25_k101010_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,25,10 10 10,Mg.pbe-spnl-kjpaw_psl.1.0.0
